name,parent,id,data,text
a,,1,200,total budget
p,1,2,70, operations
q,1,3,30, finance
p1,2,4,4, text
p2,2,5,10, text
p3,2,6,13, text
p4,2,7,1, text
p5,2,8,7, text
p6,2,9,7, text
p7,2,10,7, text
p8,2,11,7, text
p9,2,12,7, text
p10,2,13,7, text
q1,3,14,8, text
q2,3,15,7, text
q3,3,16,8, text
q4,3,17,7, text
r,1,18,10, other
s,1,19,90, policy
r1,18,20,3, text
r2,18,21,3, text
r3,18,22,2, text
r4,18,23,2, text
s1,19,24,30, text
s2,19,25,20, text
s3,19,26,10, text
s4,19,27,10, text
s5,19,28,10, text
s6,19,29,10, text
s7,19,30,30, hello hello